== bua-kandidaten --jaar 2026 --detail (lees-only, kantoorbreed) ==
BUA-kandidaten — 78 administratie(s), boekjaar 2026 (lees-only; kenmerk = `btw_aftrek_uitgesloten`; module = geboekte inkoopfacturen op factuurdatum, bank = geboekte bank-direct-boekingen op boekmoment)
code  rekening                                   adm kenm rlz0 mod_n  mod_netto  mod_btw bank_n bank_netto bank_btw  advies
4014  Kantinekosten                               74    0   74     0       0.00     0.00      0       0.00     0.00  beoordelen — BUA-kantineregeling: aftrek wél, correctie aan het jaareinde bij bevoordeling > € 227 — het kenmerk zet altijd álle btw in de kosten (te conservatief)
L.H.G. Admin B.V.                 4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
L.H.G. Admin B.V.                 4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
L.H.G. Holding B.V.               4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
L.H.G. Holding B.V.               4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
L.H.G. Holding B.V.               4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
L.H.G. Holding B.V.               4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Mantelzorgwoningen Midden Nederl  4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Mantelzorgwoningen Midden Nederl  4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Mantelzorgwoningen Midden Nederl  4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Mantelzorgwoningen Midden Nederl  4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Mantelzorgwoningen Oost Nederlan  4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Mantelzorgwoningen Oost Nederlan  4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Mantelzorgwoningen Oost Nederlan  4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Mantelzorgwoningen Oost Nederlan  4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Midden Nederland Beheer BV        4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Midden Nederland Beheer BV        4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Midden Nederland Beheer BV        4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Midden Nederland Beheer BV        4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Molenhof Beheer B.V.              4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Molenhof Beheer B.V.              4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Molenhof Beheer B.V.              4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Molenhof Beheer B.V.              4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Molenhof Verhuur B.V.             4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Molenhof Verhuur B.V.             4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Molenhof Verhuur B.V.             4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Molenhof Verhuur B.V.             4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Necol Beheer BV                   4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Necol Beheer BV                   4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Necol Beheer BV                   4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Necol Beheer BV                   4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Necol Energie B.V.                4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Necol Energie B.V.                4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Necol Energie B.V.                4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Necol Energie B.V.                4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Novitas Holding B.V.              4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Novitas Holding B.V.              4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Novitas Holding B.V.              4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Novitas Holding B.V.              4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
